frame,timestamp_sec,Cheetah,Crocodile,Deer,Elephant,Leopard,Squirrel,Tiger,Zebra
947,15.78,1,,,,1,,,
950,15.83,1,,,,1,,,
951,15.85,1,,,,1,,,
952,15.87,1,,,,1,,,
953,15.88,1,,,,1,,,
954,15.9,1,,,,1,,,
955,15.92,,,,,1,,,
956,15.93,,,,,1,,,
957,15.95,1,,,,,,,
958,15.97,1,,,,1,,,
959,15.98,1,,,,1,,,
960,16.0,1,,,,1,,,
961,16.02,1,,,,1,,,
962,16.03,1,,,,,,,
964,16.07,1,,,,,,,
965,16.08,1,,,,1,,,
966,16.1,1,,,,1,,,
967,16.12,1,,,,1,,,
968,16.13,1,,,,1,,,
970,16.17,1,,,,,,,
971,16.18,1,,,,,,,
972,16.2,1,,,,,,,
973,16.22,1,,,,,,,
974,16.23,1,,,,,,,
975,16.25,1,,,,,,,
979,16.32,1,,,,,,,
980,16.33,1,,,,1,,,
981,16.35,1,,,,,,,
982,16.37,1,,,,,,,
983,16.38,1,,,,,,,
984,16.4,1,,,,,,,
985,16.42,1,,,,,,,
986,16.43,1,,,,,,,
987,16.45,1,,,,,,,
988,16.47,1,,,,,,,
989,16.48,1,,,,,,,
990,16.5,1,,,,,,,
991,16.52,1,,,,,,,
992,16.53,1,,,,,,,
994,16.57,,,1,,,,,
995,16.58,,,1,,,,,
996,16.6,,,1,,,,,
997,16.62,,,2,,,,,
998,16.63,,,2,,,,,
999,16.65,,,2,,,,,
1000,16.67,,,2,,,,,
1001,16.68,,,2,,,,,
1002,16.7,,,1,,,,,
1003,16.72,,,1,,,,,
1004,16.73,,,1,,,,,
1005,16.75,,,1,,,,,
1006,16.77,,,1,,,,,
1007,16.78,,,1,,,,,
1008,16.8,,,1,,,,,
1009,16.82,,,1,,,,,
1010,16.83,,,1,,,,,
1011,16.85,,,1,,,,,
1012,16.87,,,1,,,,,
1013,16.88,,,1,,,,,
1014,16.9,,,1,,,,,
1015,16.92,,,1,,,,,
1016,16.93,,,1,,,,,
1017,16.95,,,1,,,,,
1018,16.97,,,1,,,,,
1019,16.98,,,1,,,,,
1020,17.0,,,1,,,,,
1021,17.02,,,1,,,,,
1022,17.03,,,1,,,,,
1023,17.05,,,1,,,,,
1024,17.07,,,1,,,,,
1025,17.08,,,1,,,,,
1026,17.1,,,1,,,,,
1027,17.12,,,1,,,,,
1028,17.13,,,1,,,,,
1029,17.15,,,1,,,,,
1030,17.17,,,1,,,,,
1038,17.3,,,1,,,,,
1039,17.32,,,1,,,,,
1040,17.33,,,1,,,,,
1041,17.35,,,1,,,,,
1042,17.37,,,1,,,,,
1043,17.38,,,1,,,,,
1044,17.4,,,1,,,,,
1045,17.42,,,1,,,,,
1046,17.43,,,1,,,,,
1047,17.45,,,1,,,,,
1048,17.47,1,,1,,,,,
1049,17.48,1,,1,,,,,
1050,17.5,,,1,,,,,
1051,17.52,,,1,,,,,
1052,17.53,,,1,,,,,
1053,17.55,,,1,,,,,
1054,17.57,,,1,,,,,
1055,17.58,,,1,,,,,
1056,17.6,,,1,,,,,
1057,17.62,1,,1,,,,,
1058,17.63,1,,1,,,,,
1059,17.65,1,,1,,,,,
1060,17.67,1,,1,,,,,
1061,17.68,1,,1,,,,,
1062,17.7,1,,1,,1,,,
1063,17.72,1,,1,,1,,,
1064,17.73,1,,1,,1,,,
1065,17.75,1,,1,,1,,,
1066,17.77,1,,1,,1,,,
1067,17.78,1,,1,,1,,,
1068,17.8,1,,1,,1,,,
1069,17.82,1,,1,,1,,,
1070,17.83,1,,1,,1,,,
1071,17.85,,,1,,,,,
1072,17.87,,,1,,1,,,
1073,17.88,,,1,,1,,,
1074,17.9,,,1,,1,,,
1075,17.92,,,1,,1,,,
1076,17.93,,,1,,,,,
1077,17.95,,,1,,,,,
1078,17.97,,,1,,,,,
1079,17.98,,,1,,,,,
1080,18.0,,,1,,,,,
1081,18.02,1,,1,,,,,
1082,18.03,1,,1,,,,,
1083,18.05,1,,1,,,,,
1084,18.07,1,,1,,1,,,
1085,18.08,1,,1,,1,,,
1086,18.1,,,1,,,,,
1087,18.12,1,,1,,,,,
1088,18.13,1,,,,,,,
1089,18.15,1,,,,,,,
1090,18.17,1,,,,,,,
1091,18.18,1,,,,,,,
1092,18.2,1,,,,,,,
1093,18.22,1,,,,,,,
1094,18.23,1,,,,,,,
1095,18.25,1,,,,,,,
1096,18.27,1,,,,,,,
1097,18.28,1,,,,,,,
1098,18.3,1,,,,,,,
1099,18.32,1,,,,1,,,
1100,18.33,1,,1,,1,,,
1101,18.35,1,,1,,1,,,
1102,18.37,1,,1,,1,,,
1103,18.38,1,,1,,1,,,
1104,18.4,1,,1,,1,,,
1105,18.42,1,,1,,1,,,
1106,18.43,1,,1,,1,,,
1107,18.45,1,,,,1,,,
1108,18.47,1,,,,1,,,
1109,18.48,1,,,,1,,,
1110,18.5,1,,1,,1,,,
1111,18.52,1,,1,,1,,,
1112,18.53,1,,1,,1,,,
1113,18.55,1,,1,,1,,,
1114,18.57,1,,1,,1,,,
1115,18.58,1,,1,,1,,,
1116,18.6,1,,1,,1,,,
1117,18.62,1,,1,,1,,,
1118,18.63,1,,1,,1,,,
1119,18.65,1,,1,,1,,,
1120,18.67,1,,1,,1,,,
1121,18.68,1,,1,,1,,,
1122,18.7,1,,1,,1,,,
1123,18.72,1,,1,,1,,,
1124,18.73,1,,,,1,,,
